"Київ";;"м. Київ"
"Київська";"Миронівський";"с. Ходорів"
"Київська";"Миронівський";"с. Центральне"
"Київська";"Миронівський";"с. Шандра"
"Київська";"Миронівський";"с. Юхни"
"Київська";"Миронівський";"с. Яхни"
"Київська";"Обухівський";"м. Обухів"
"Київська";"Обухівський";"м. Українка"
"Київська";"Обухівський";"с. Безіменне"
"Київська";"Обухівський";"с. Березове"
"Київська";"Обухівський";"с. Великі Дмитровичі"
"Київська";"Обухівський";"с. Верем'я"
"Київська";"Обухівський";"с. Витачів"
"Київська";"Обухівський";"с. Германівка"
"Київська";"Обухівський";"с. Григорівка"
"Київська";"Обухівський";"с. Гусачівка"
"Київська";"Обухівський";"с. Дерев'яна"
"Київська";"Обухівський";"с. Деремезна"
"Київська";"Обухівський";"с. Долина"
"Київська";"Обухівський";"с. Жуківці"
"Київська";"Обухівський";"с. Застугна"
"Київська";"Обухівський";"с. Капустяна"
"Київська";"Обухівський";"с. Козіївка"
"Київська";"Обухівський";"с. Конюша"
"Київська";"Обухівський";"с. Копачів"
"Київська";"Обухівський";"с. Красна Слобідка"
"Київська";"Обухівський";"с. Красне Перше"
"Київська";"Обухівський";"с. Креничі"
"Київська";"Обухівський";"с. Кулі"
"Київська";"Обухівський";"с. Ленди"
"Київська";"Обухівський";"с. Макарівка"
"Київська";"Обухівський";"с. Мала Вільшанка"
"Київська";"Обухівський";"с. Малі Дмитровичі"
"Київська";"Обухівський";"с. Матяшівка"
"Київська";"Обухівський";"с. Нещерів"
"Київська";"Обухівський";"с. Нові Безрадичі"
"Київська";"Обухівський";"с. Паращина"
"Київська";"Обухівський";"с. Перегонівка"
"Київська";"Обухівський";"с. Перше Травня"
"Київська";"Обухівський";"с. Підгірці"
"Київська";"Обухівський";"с. Плюти"
"Київська";"Обухівський";"с. Романків"
"Київська";"Обухівський";"с. Семенівка"
"Київська";"Обухівський";"с. Старі Безрадичі"
"Київська";"Обухівський";"с. Степок"
"Київська";"Обухівський";"с. Тарасівка"
"Київська";"Обухівський";"с. Таценки"
"Київська";"Обухівський";"с. Трипілля"
"Київська";"Обухівський";"с. Халеп'я"
"Київська";"Обухівський";"с. Шевченкове"
"Київська";"Обухівський";"с. Щербанівка"
"Київська";"Обухівський";"смт Козин"
"Київська";"Переяслав-Хмельницький";"м. Переяслав-Хмельницький"
"Київська";"Переяслав-Хмельницький";"с. Велика Каратуль"
"Київська";"Переяслав-Хмельницький";"с. Веселе"
"Київська";"Переяслав-Хмельницький";"с. Виповзки"
"Київська";"Переяслав-Хмельницький";"с. Вінинці"
"Київська";"Переяслав-Хмельницький";"с. Вовчків"
"Київська";"Переяслав-Хмельницький";"с. Воскресенське"
"Київська";"Переяслав-Хмельницький";"с. Гайшин"
"Київська";"Переяслав-Хмельницький";"с. Гланишів"
"Київська";"Переяслав-Хмельницький";"с. Горбані"
"Київська";"Переяслав-Хмельницький";"с. Гребля"
"Київська";"Переяслав-Хмельницький";"с. Гречаники"
"Київська";"Переяслав-Хмельницький";"с. Дем'янці"
"Київська";"Переяслав-Хмельницький";"с. Дениси"
"Київська";"Переяслав-Хмельницький";"с. Дівички"
"Київська";"Переяслав-Хмельницький";"с. Довга Гребля"
"Київська";"Переяслав-Хмельницький";"с. Єрківці"
"Київська";"Переяслав-Хмельницький";"с. Заострів"
"Київська";"Переяслав-Хмельницький";"с. Кавказ"
"Київська";"Переяслав-Хмельницький";"с. Ковалин"
"Київська";"Переяслав-Хмельницький";"с. Козлів"
"Київська";"Переяслав-Хмельницький";"с. Лецьки"
"Київська";"Переяслав-Хмельницький";"с. Мазінки"
"Київська";"Переяслав-Хмельницький";"с. Мала Каратуль"
"Київська";"Переяслав-Хмельницький";"с. Мар'янівка"
"Київська";"Переяслав-Хмельницький";"с. Натягайлівка"
"Київська";"Переяслав-Хмельницький";"с. Переяславське"
"Київська";"Переяслав-Хмельницький";"с. Перше травня"
"Київська";"Переяслав-Хмельницький";"с. Плескачі"
"Київська";"Переяслав-Хмельницький";"с. Пологи-Вергуни"
"Київська";"Переяслав-Хмельницький";"с. Пологи-Чобітки"
"Київська";"Переяслав-Хмельницький";"с. Пологи-Яненки"
"Київська";"Переяслав-Хмельницький";"с. Положаї"
"Київська";"Переяслав-Хмельницький";"с. Помоклі"
"Київська";"Переяслав-Хмельницький";"с. Пристроми"
"Київська";"Переяслав-Хмельницький";"с. Світанок"
"Київська";"Переяслав-Хмельницький";"с. Сомкова Долина"
"Київська";"Переяслав-Хмельницький";"с. Соснівка"
"Київська";"Переяслав-Хмельницький";"с. Соснова"
"Київська";"Переяслав-Хмельницький";"с. Стовп'яги"
"Київська";"Переяслав-Хмельницький";"с. Строкова"
"Київська";"Переяслав-Хмельницький";"с. Студеники"
"Київська";"Переяслав-Хмельницький";"с. Тарасівка"
"Київська";"Переяслав-Хмельницький";"с. Ташань"
"Київська";"Переяслав-Хмельницький";"с. Травневе"
"Київська";"Переяслав-Хмельницький";"с. Улянівка"
"Київська";"Переяслав-Хмельницький";"с. Харківці"
"Київська";"Переяслав-Хмельницький";"с. Хоцьки"
"Київська";"Переяслав-Хмельницький";"с. Циблі"
"Київська";"Переяслав-Хмельницький";"с. Чирське"
"Київська";"Переяслав-Хмельницький";"с. Чопилки"
"Київська";"Переяслав-Хмельницький";"с. Шевченкове"
"Київська";"Поліський";"с. Буда-Вовчківська"
"Київська";"Поліський";"с. Буда-Радинська"
"Київська";"Поліський";"с. Вересня"
"Київська";"Поліський";"с. Вовчків"
"Київська";"Поліський";"с. Городещина"
"Київська";"Поліський";"с. Дубова (Володарська сільська Рада)"
"Київська";"Поліський";"с. Дубова (Красятицька сільська рада)"
"Київська";"Поліський";"с. Залишани"
"Київська";"Поліський";"с. Зелена Поляна"
"Київська";"Поліський";"с. Зірка"
"Київська";"Поліський";"с. Калинівка"
"Київська";"Поліський";"с. Левковичі"
"Київська";"Поліський";"с. Лісове"
"Київська";"Поліський";"с. Луговики"
"Київська";"Поліський";"с. Максимовичі"
"Київська";"Поліський";"с. Мар'янівка"
"Київська";"Поліський";"с. Міхлівщина"
"Київська";"Поліський";"с. Млачівка"
"Київська";"Поліський";"с. Нівецьке"
"Київська";"Поліський";"с. Омелянівка"
"Київська";"Поліський";"с. Рагівка"
"Київська";"Поліський";"с. Радинка"
"Київська";"Поліський";"с. Романівка"
"Київська";"Поліський";"с. Стара Марківка"
"Київська";"Поліський";"с. Стещина"
"Київська";"Поліський";"с. Стовпне"
"Київська";"Поліський";"с. Федорівка"
"Київська";"Поліський";"с. Черемошна"
"Київська";"Поліський";"с. Шкнева"
"Київська";"Поліський";"смт Красятичі"
"Київська";"Ржищів";"м. Ржищів"
"Київська";"Рокитнянський";"с. Бакумівка"
"Київська";"Рокитнянський";"с. Бирюки"
"Київська";"Рокитнянський";"с. Бушеве"
"Київська";"Рокитнянський";"с. Житні Гори"
"Київська";"Рокитнянський";"с. Запруддя"
"Київська";"Рокитнянський";"с. Калинівка"
"Київська";"Рокитнянський";"с. Колесникове"
"Київська";"Рокитнянський";"с. Луб'янка"
"Київська";"Рокитнянський";"с. Любка"
"Київська";"Рокитнянський";"с. Маківка"
"Київська";"Рокитнянський";"с. Насташка"
"Київська";"Рокитнянський";"с. Нова Маківка"
"Київська";"Рокитнянський";"с. Ольшаниця"
"Київська";"Рокитнянський";"с. Острів"
"Київська";"Рокитнянський";"с. Першотравневе"
"Київська";"Рокитнянський";"с. Пугачівка"
"Київська";"Рокитнянський";"с. Ромашки"
"Київська";"Рокитнянський";"с. Савинці"
"Київська";"Рокитнянський";"с. Синява"
"Київська";"Рокитнянський";"с. Телешівка"
"Київська";"Рокитнянський";"с. Троїцьке"
"Київська";"Рокитнянський";"с. Шарки"
"Київська";"Рокитнянський";"смт Рокитне"
"Київська";"Сквирський";"м. Сквира"
"Київська";"Сквирський";"с. Андріївка"
"Київська";"Сквирський";"с. Антонів"
"Київська";"Сквирський";"с. Безпечна"
"Київська";"Сквирський";"с. Безугляки"
"Київська";"Сквирський";"с. Буки"
"Київська";"Сквирський";"с. Великі Єрчики"
"Київська";"Сквирський";"с. Великополовецьке"
"Київська";"Сквирський";"с. Владиславка"
"Київська";"Сквирський";"с. Горобіївка"
"Київська";"Сквирський";"с. Домантівка"
"Київська";"Сквирський";"с. Дулицьке"
"Київська";"Сквирський";"с. Дунайка"
"Київська";"Сквирський";"с. Золотуха"
"Київська";"Сквирський";"с. Каленна"
"Київська";"Сквирський";"с. Кам'яна Гребля"
"Київська";"Сквирський";"с. Квітневе"
"Київська";"Сквирський";"с. Кононівка"
"Київська";"Сквирський";"с. Красноліси"
"Київська";"Сквирський";"с. Краснянка"
"Київська";"Сквирський";"с. Кривошиїнці"
"Київська";"Сквирський";"с. Лаврики"
"Київська";"Сквирський";"с. Мала Михайлівка"
"Київська";"Сквирський";"с. Малі Єрчики"
"Київська";"Сквирський";"с. Малі Лисівці"
"Київська";"Сквирський";"с. Миньківці"
"Київська";"Сквирський";"с. Мовчанівка"
"Київська";"Сквирський";"с. Нова Пустоварівка"
"Київська";"Сквирський";"с. Новий Шлях"
"Київська";"Сквирський";"с. Оріховець"
"Київська";"Сквирський";"с. Пищики"
"Київська";"Сквирський";"с. Пустоварівка"
"Київська";"Сквирський";"с. Рибчинці"
"Київська";"Сквирський";"с. Рогізна"
"Київська";"Сквирський";"с. Руда"
"Київська";"Сквирський";"с. Саврань"
"Київська";"Сквирський";"с. Самгородок"
"Київська";"Сквирський";"с. Селезенівка"
"Київська";"Сквирський";"с. Таборів"
"Київська";"Сквирський";"с. Тарасівка"
"Київська";"Сквирський";"с. Терешки"
"Київська";"Сквирський";"с. Токарівка"
"Київська";"Сквирський";"с. Тхорівка"
"Київська";"Сквирський";"с. Улянівка"
"Київська";"Сквирський";"с. Цапіївка"
"Київська";"Сквирський";"с. Чубинці"
"Київська";"Сквирський";"с. Шаліївка"
"Київська";"Сквирський";"с. Шамраївка"
"Київська";"Сквирський";"с. Шапіївка"
"Київська";"Сквирський";"с. Ями"
"Київська";"Славутич";"м. Славутич"
"Київська";"Ставищенський";"с. Антонівка"
"Київська";"Ставищенський";"с. Бесідка"
"Київська";"Ставищенський";"с. Богатирка"
"Київська";"Ставищенський";"с. Брилівка"
"Київська";"Ставищенський";"с. Василиха"
"Київська";"Ставищенський";"с. Веселе"
"Київська";"Ставищенський";"с. Винарівка"
"Київська";"Ставищенський";"с. Вишківське"
"Київська";"Ставищенський";"с. Гейсиха"
"Київська";"Ставищенський";"с. Гостра Могила"
"Київська";"Ставищенський";"с. Григорівська Слобода"
"Київська";"Ставищенський";"с. Журавлиха"
"Київська";"Ставищенський";"с. Іванівка"
"Київська";"Ставищенський";"с. Красилівка"
"Київська";"Ставищенський";"с. Кривець"
"Київська";"Ставищенський";"с. Любча"
"Київська";"Ставищенський";"с. Полковниче"
"Київська";"Ставищенський";"с. Попружна"
"Київська";"Ставищенський";"с. Розкішна"
"Київська";"Ставищенський";"с. Розумниця"
"Київська";"Ставищенський";"с. Сніжки"
"Київська";"Ставищенський";"с. Станіславчик"
"Київська";"Ставищенський";"с. Стрижавка"
"Київська";"Ставищенський";"с. Сухий Яр"
"Київська";"Ставищенський";"с. Торчицький Степок"
"Київська";"Ставищенський";"с. Торчиця"
"Київська";"Ставищенський";"с. Червоне"
"Київська";"Ставищенський";"с. Юрківка"
"Київська";"Ставищенський";"с. Ясенівка"
"Київська";"Ставищенський";"смт Ставище"
"Київська";"Таращанський";"м. Тараща"
"Київська";"Таращанський";"с. Антонівка"
"Київська";"Таращанський";"с. Бовкун"
"Київська";"Таращанський";"с. Буда"
"Київська";"Таращанський";"с. Велика Березянка"
"Київська";"Таращанський";"с. Велика Вовнянка"
"Київська";"Таращанський";"с. Веселий Кут"
"Київська";"Таращанський";"с. Володимирівка"
"Київська";"Таращанський";"с. Дубівка"
"Київська";"Таращанський";"с. Калинове"
"Київська";"Таращанський";"с. Кирдани"
"Київська";"Таращанський";"с. Кислівка"
"Київська";"Таращанський";"с. Ківшовата"
"Київська";"Таращанський";"с. Косяківка"
"Київська";"Таращанський";"с. Красюки"
"Київська";"Таращанський";"с. Крива"
"Київська";"Таращанський";"с. Круті Горби"
"Київська";"Таращанський";"с. Лісовичі"
"Київська";"Таращанський";"с. Лука"
"Київська";"Таращанський";"с. Лук'янівка"
"Київська";"Таращанський";"с. Маковецьке"
"Київська";"Таращанський";"с. Мала Березянка"
"Київська";"Таращанський";"с. Мала Вовнянка"
"Київська";"Таращанський";"с. Малоберезанське"
"Київська";"Таращанський";"с. Плоске"
"Київська";"Таращанський";"с. Потоки"
"Київська";"Таращанський";"с. Ріжки"
"Київська";"Таращанський";"с. Салиха"
"Київська";"Таращанський";"с. Северинівка"
"Київська";"Таращанський";"с. Станишівка"
"Київська";"Таращанський";"с. Степок"
"Київська";"Таращанський";"с. Улашівка"
"Київська";"Таращанський";"с. Червоні Яри"
"Київська";"Таращанський";"с. Чернин"
"Київська";"Таращанський";"с. Юшків Ріг"
"Київська";"Тетіївський";"м. Тетіїв"
"Київська";"Тетіївський";"с. Бурківці"
"Київська";"Тетіївський";"с. Високе"
"Київська";"Тетіївський";"с. Галайки"
"Київська";"Тетіївський";"с. Голодьки"
"Київська";"Тетіївський";"с. Горошків"
"Київська";"Тетіївський";"с. Григорівка"
"Київська";"Тетіївський";"с. Денихівка"
"Київська";"Тетіївський";"с. Дзвеняче"
"Київська";"Тетіївський";"с. Дібрівка"
"Київська";"Тетіївський";"с. Дубина"
"Київська";"Тетіївський";"с. Кашперівка"
"Київська";"Тетіївський";"с. Клюки"
"Київська";"Тетіївський";"с. Кошів"
"Київська";"Тетіївський";"с. Михайлівка"
"Київська";"Тетіївський";"с. Молочне"
"Київська";"Тетіївський";"с. Ненадиха"
"Київська";"Тетіївський";"с. Одайпіль"
"Київська";"Тетіївський";"с. Перше Травня"
"Київська";"Тетіївський";"с. Погреби"
"Київська";"Тетіївський";"с. П'ятигори"
"Київська";"Тетіївський";"с. Ріденьке"
"Київська";"Тетіївський";"с. Росішки"
"Київська";"Тетіївський";"с. Скибинці"
"Київська";"Тетіївський";"с. Софіпіль"
"Київська";"Тетіївський";"с. Стадниця"
"Київська";"Тетіївський";"с. Степове"
"Київська";"Тетіївський";"с. Тайниця"
"Київська";"Тетіївський";"с. Тарасівка"
"Київська";"Тетіївський";"с. Теліжинці"
"Київська";"Тетіївський";"с. Хмелівка"
"Київська";"Тетіївський";"с. Черепин"
"Київська";"Тетіївський";"с. Черепинка"
"Київська";"Фастівський";"м. Фастів"
"Київська";"Фастівський";"с. Бортники"
"Київська";"Фастівський";"с. Василівка"
"Київська";"Фастівський";"с. Велика Мотовилівка"
"Київська";"Фастівський";"с. Велика Офірна"
"Київська";"Фастівський";"с. Велика Снітинка"
"Київська";"Фастівський";"с. Великі Гуляки"
"Київська";"Фастівський";"с. Веприк"
"Київська";"Фастівський";"с. Вишня"
"Київська";"Фастівський";"с. Вишняки"
"Київська";"Фастівський";"с. Вільшанська Нива"
"Київська";"Фастівський";"с. Волиця"
"Київська";"Фастівський";"с. Гвардійське"
"Київська";"Фастівський";"с. Деминівка"
"Київська";"Фастівський";"с. Дідівщина"
"Київська";"Фастівський";"с. Дмитрівка"
"Київська";"Фастівський";"с. Дорогинка"
"Київська";"Фастівський";"с. Єлизаветівка"
"Київська";"Фастівський";"с. Кищинці"
"Київська";"Фастівський";"с. Клехівка"
"Київська";"Фастівський";"с. Кончаки"
"Київська";"Фастівський";"с. Королівка"
"Київська";"Фастівський";"с. Кощіївка"
"Київська";"Фастівський";"с. Мала Офірна"
"Київська";"Фастівський";"с. Мала Снітинка"
"Київська";"Фастівський";"с. Малополовецьке"
"Київська";"Фастівський";"с. Млинок"
"Київська";"Фастівський";"с. Мотовилівка"
"Київська";"Фастівський";"с. Мотовилівська Слобідка"
"Київська";"Фастівський";"с. Оленівка"
"Київська";"Фастівський";"с. Паляничинці"
"Київська";"Фастівський";"с. Пилипівка"
"Київська";"Фастівський";"с. Півні"
"Київська";"Фастівський";"с. Пришивальня"
"Київська";"Фастівський";"с. Скригалівка"
"Київська";"Фастівський";"с. Софіївка"
"Київська";"Фастівський";"с. Ставки"
"Київська";"Фастівський";"с. Степове"
"Київська";"Фастівський";"с. Тарасенки"
"Київська";"Фастівський";"с. Тарасівка"
"Київська";"Фастівський";"с. Томашівка"
"Київська";"Фастівський";"с. Триліси"
"Київська";"Фастівський";"с. Фастівець"
"Київська";"Фастівський";"с. Федорівка"
"Київська";"Фастівський";"с. Червоне"
"Київська";"Фастівський";"с. Ярошівка"
"Київська";"Фастівський";"с. Яхни"
"Київська";"Фастівський";"смт Борова"
"Київська";"Фастівський";"смт Кожанка"
"Київська";"Яготинський";"м. Яготин"
"Київська";"Яготинський";"с. Богданівка"
"Київська";"Яготинський";"с. Божки"
"Київська";"Яготинський";"с. Воронівщина"
"Київська";"Яготинський";"с. Гензерівка"
"Київська";"Яготинський";"с. Годунівка"
"Київська";"Яготинський";"с. Гречанівка"
"Київська";"Яготинський";"с. Григорівка"
"Київська";"Яготинський";"с. Двірківщина"
"Київська";"Яготинський";"с. Дзюбівка"
"Київська";"Яготинський";"с. Добраничівка"
"Київська";"Яготинський";"с. Жоравка"
"Київська";"Яготинський";"с. Засупоївка"
"Київська";"Яготинський";"с. Кайнари"
"Київська";"Яготинський";"с. Капустинці"
"Київська";"Яготинський";"с. Коптевичівка"
"Київська";"Яготинський";"с. Кулябівка"
"Київська";"Яготинський";"с. Лебедівка"
"Київська";"Яготинський";"с. Лемешівка"
"Київська";"Яготинський";"с. Лозовий Яр"
"Київська";"Яготинський";"с. Лукомщина"
"Київська";"Яготинський";"с. Ничипорівка"
"Київська";"Яготинський";"с. Озерне"
"Київська";"Яготинський";"с. Панфили"
"Київська";"Яготинський";"с. Плужники"
"Київська";"Яготинський";"с. Райківщина"
"Київська";"Яготинський";"с. Розумівка"
"Київська";"Яготинський";"с. Рокитне"
"Київська";"Яготинський";"с. Соколівщина"
"Київська";"Яготинський";"с. Сотниківка"
"Київська";"Яготинський";"с. Сулимівка"
"Київська";"Яготинський";"с. Супоївка"
"Київська";"Яготинський";"с. Трубівщина"
"Київська";"Яготинський";"с. Тужилів"
"Київська";"Яготинський";"с. Фарбоване"
"Київська";"Яготинський";"с. Федорівка"
"Київська";"Яготинський";"с. Червоне"
"Київська";"Яготинський";"с. Червоне Заріччя"
"Київська";"Яготинський";"с. Черкасівка"
"Київська";"Яготинський";"с. Черняхівка"
"Київська";"Яготинський";"с. Черняхівка (Двірківщинська сільська рада)"
"Київська";"Яготинський";"с. Шевченкове"
